Marks 1,Marks 2,Admission
92.93428306022466,79.4816793878959,1
51.23471397657631,56.29835439167367,0
74.95377076201385,53.461559993880826,1
68.46059712816052,50.23352577681736,0
78.31693250553329,83.61999044991902,1
32.317260861016386,81.62560238232398,0
117.58425631014782,78.21564953554723,1
99.34869458305818,62.81575248297571,1
56.610512281300956,88.62526862807128,1
107.8512008717193,84.51090254244718,1
89.73164614375075,84.4165152430942,1
70.68540492859486,69.28682046672365,1
57.839245431320684,14.873300519879436,0
31.73439510684404,55.07586751838659,1
32.501643349739346,100.25051644788397,1
66.75424941518054,112.12480057141646,1
23.743377593311525,32.55979756839332,0
59.28494665190548,57.07065795784048,0
11.83951848957578,48.23272050095268,0
52.75392597329417,82.09760490789752,1
99.31297537843108,94.22791211016828,1
56.48447399026929,129.76073132931938,1
82.35056409375848,92.28347921780097,1
39.505036275730866,111.29287311628012,1
85.11234550949635,20.60509791820511,1
100.21845179419732,114.43805008750448,1
12.980128451553945,37.74094136476342,0
94.51396036691344,67.01985299068265,1
67.9872262016239,100.83521553071004,1
92.16612500413447,28.248621707982146,1
61.96586775541206,69.60656224324975,1
132.04556369017877,74.14225143023492,1
46.730055505241324,75.55788089483032,0
66.84578142088199,66.63459563452705,1
96.45089824206377,71.83012794213624,1
49.58312700057955,52.96485912830927,1
58.17727190009511,75.30804235404148,0
5.806597522404488,46.57502219319369,0
44.436279022031385,74.40479592465923,1
61.93722471738247,72.26534866226712,0
97.76933159990821,67.9415509869608,1
95.4273656237994,96.37289981065778,1
86.68703435223519,46.95893812245295,1
46.977926088214225,55.44675706804463,0
31.42956019265145,55.15783693735685,1
67.60311583210583,31.72970103735763,1
20.78722458080425,73.92240554129152,0
83.1424445243783,81.22110544359779,1
81.87236579136923,90.10226913284922,1
19.73919689274532,59.308257332497064,0
